id,name,brand,sex,cost,price,sold,stockQuantity,description,imgUrl,dialColor,caseMaterial,strapMaterial,movementType,waterResistance,caseDiameter,caseThickness,powerReserve
34,Grand Complications,Patek Phillippe,Female,45500,70000,841,373,,,Blue,Gold,Stainless Steel,Spring Drive Movement,3,34,6,66
35,Twenty~4,Patek Phillippe,Male,39000,60000,899,601,,,Black,Carbon Fiber,Fabric,Kinetic Movement,3,41,7,49
36,Navitimer,Breitling,Female,9750,15000,126,269,,,Grey,Gold,Stainless Steel,Quartz Movement,30,36,11,60
37,Chronomat,Breitling,Male,6500,10000,262,274,,,Black,PVD Coating,Leather,Quartz Movement,30,41,6,53
38,Superocean,Breitling,Male,5200,8000,647,980,,,Blue,PVD Coating,NATO,Quartz Movement,10,42,9,69
39,Avenger,Breitling,Female,4550,7000,812,564,,,Blue,Resin,Ceramic,Solar Movement,10,36,11,67
40,Transocean,Breitling,Male,6500,10000,905,502,,,Blue,PVD Coating,Stainless Steel,Solar Movement,20,34,7,54
41,Tank,Cartier,Male,32500,50000,749,969,,,Black,Resin,Ceramic,Solar Movement,5,39,12,68
42,Santos,Cartier,Female,45500,70000,633,482,,,Silver,Resin,Fabric,Solar Movement,30,37,12,71
43,Ballon Bleu,Cartier,Male,19500,30000,691,260,,,Black,Titanium,NATO,Spring Drive Movement,10,41,12,60
44,Drive de Cartier,Cartier,Female,13000,20000,129,687,,,Black,Platium,Ceramic,Kinetic Movement,10,38,9,64
45,Panthère,Cartier,Female,13000,20000,594,894,,,Black,Carbon Fiber,NATO,Quartz Movement,5,43,6,49
46,Big Bang,Hublot,Female,65000,100000,192,586,,,Black,Resin,Stainless Steel,Kinetic Movement,30,34,8,64
47,Classic Fusion,Hublot,Male,19500,30000,949,351,,,Black,Platium,NATO,Mechanical Movement,20,40,9,67
48,Spirit of Big Bang,Hublot,Couple,65000,100000,936,430,,,Black,Platium,Leather,Mechanical Movement,10,42,8,70
49,MP Collection,Hublot,Couple,325000,500000,321,449,,,Black,Resin,Silicone,Kinetic Movement,3,40,10,68
50,King Power,Hublot,Couple,26000,40000,933,500,,,Black,PVD Coating,Ceramic,Kinetic Movement,10,43,10,72
